Player,Batting,Bowling,Umpire
A Smith,Right hand,Right arm leg break,No
A Soni,Right hand,Right arm pace,No
AS Pathania,Right hand,Right arm pace,No
AS Rajpoot,Right hand,Right arm pace,No
Asrar Ahmed,Right hand,Right arm leg break,No
AS Raut,Right hand,Right arm leg break,No
ASS Fletcher,Right hand,Right arm leg break,No
AS Taai,Right hand,Right arm pace,No
AS Tanke,Right hand,Right arm leg break,No
A Steyn,Right hand,Right arm pace,No
A Stocks,Right hand,Right arm pace,No
A Suda,Right hand,Right arm pace,No
A Sulistianingsih,Right hand,,No
A Sutherland,Right hand,Right arm pace,No
AS van Beuge,Right hand,Right arm pace,No
Aswad Khan,Right hand,Right arm pace,No
AS Wright,Right hand,Right arm pace,No
AS Yadav,Right hand,Right arm off break,No
A Symonds,Right hand,Right arm pace,No
A Tagilala,Right hand,,No
A Tett,Right hand,Right arm pace,No
AT Holdstock,Right hand,Right arm pace,No
A Thyagarajan,Right hand,Right arm leg break,No
Atif Ali Khan,Right hand,Left arm pace,No
Atif Kamal,Right hand,Right arm pace,No
Atif Mehmood,Right hand,Left arm pace,No
A Tissera,Right hand,Right arm pace,No
AT Nascimento,Right hand,Right arm pace,No
AT Nidamanuru,Right hand,Right arm off break,No
AT Rayudu,Right hand,Right arm off break,No
AT Thomson,Right hand,Right arm off break,No
AUK Pathan,Right hand,Right arm pace,No
A Umetani,Right hand,Right arm pace,No
Aung Ko Ko,Right hand,Right arm leg break,No
AU Rashid,Right hand,Right arm leg break,No
A Uwimbabazi,Right hand,,No
A van der Merwe,Right hand,Right arm pace,No
A van Deventer,Right hand,Right arm off break,No
AV Ayyavooraju,Right hand,Right arm pace,No
A Venkatesh,Right hand,Right arm pace,No
A Verma,Right hand,Right arm pace,No
Avesh Khan,Right hand,Right arm pace,No
Avi Dixit,Right hand,Right arm pace,No
A Vijayan,Right hand,Right arm pace,No
A Virdi,Right hand,Right arm off break,No
AV Suppiah,Right hand,Left arm orthodox,No
AV Wankhade,Right hand,Right arm pace,No
Awad Khan,Right hand,Right arm pace,No
Awais Ahmed,Right hand,,No
AW Eastwood,Right hand,Right arm pace,No
A Wellington,Right hand,Right arm leg break,No
AW Finch,Right hand,Right arm pace,No
AW Gorvin,Right hand,Right arm pace,No
AW Hawkins-Kay,Right hand,Right arm pace,No
AW Mathieson,Right hand,Right arm pace,No
AWR Barrow,Right hand,Right arm off break,No
AW Smith,Right hand,Right arm off break,No
AW Summers,Right hand,Right arm pace,No
Ayasha Rahman,Right hand,,No
Ayeesha Yasmeen,Right hand,Right arm off break,No
Aye Min Than,Right hand,Right arm pace,No
Ayesha Hasan,Right hand,Right arm pace,No
Ayesha Naseem,Right hand,Right arm pace,No
