Player,Batting,Bowling,Umpire
V Phiri,Right hand,Right arm pace,No
V Pratap Singh,Right hand,Right arm pace,No
V Pyke,Right hand,Left arm pace,No
VR Aaron,Right hand,Right arm pace,No
Vraj Patel,Right hand,Left arm orthodox,No
VR Vanitha,Right hand,Right arm pace,No
VRV Singh,Right hand,Right arm pace,No
V Saini,Right hand,Right arm pace,No
VS D'Souza,Right hand,Right arm pace,No
V Sehwag,Right hand,Right arm off break,No
V Shankar,Right hand,Right arm pace,No
V Shaw,Right hand,Right arm off break,No
V Shetty,Right hand,Right arm off break,No
V Sibanda,Right hand,Right arm pace,No
VS Malik,Right hand,Right arm pace,No
VS Padhaal,Right hand,Right arm off break,No
VS Solanki,Right hand,Right arm off break,No
V Stolle,Right hand,,No
VS Yeligati,Right hand,Right arm off break,No
V Tari,Right hand,Right arm pace,No
V Vasquez,Right hand,Right arm pace,No
V Viyaskanth,Right hand,Right arm leg break,No
VV Morea,Right hand,Right arm pace,No
VVS Laxman,Right hand,Right arm off break,No
VVS Sohal,Right hand,Right arm off break,No
V Yabaki,Right hand,Right arm leg break,No
VY Mahesh,Right hand,Right arm pace,No
V Zimonjic,Right hand,Right arm pace,No
WA Agar,Right hand,Right arm pace,No
WAA Wasantha,Right hand,,No
WAC Wickramasinghe,Right hand,Right arm pace,No
WA Duraisingam,Right hand,Right arm pace,No
WAE Burton,Right hand,Right arm pace,No
Wafadar Momand,Right hand,Right arm pace,No
Wahab Riaz,Right hand,Left arm pace,No
Waheed Ahmed,Right hand,Right arm pace,No
Waheedullah Shafaq,Right hand,,No
Wahidullah Sahak,Right hand,Right arm pace,No
Wahidullah Usmani,Right hand,Right arm pace,No
WA Mota,Right hand,Right arm pace,No
Wang Jing,Right hand,Right arm off break,No
Wang Meng,Right hand,Right arm pace,No
Wang Qi,Right hand,Right arm pace,No
Wang Yu,Right hand,,No
Wang Zihao,Right hand,Right arm pace,No
Wan Julia,Right hand,,No
Wan Nor Zulaika,Right hand,Right arm pace,No
Waqar Abbasi,Right hand,Right arm pace,No
Waqar Ali,Right hand,Right arm pace,No
Waqar Salamkheil,Right hand,Left arm wrist spin,No
Waqar Zalmai,Right hand,Right arm pace,No
Waqas Ali,Right hand,Right arm pace,No
Waqas Barkat,Right hand,Right arm leg break,No
Waqas Haider,Right hand,,No
Waqas Khan,Right hand,Right arm pace,No
WAR Fraine,Right hand,Right arm pace,No
Waseem Gill,Right hand,Right arm pace,No
Waseem Muhammad,Right hand,Right arm pace,No
Washeem Abbas,Right hand,Right arm pace,No
Wasim Bari,Right hand,Right arm pace,No
WA Tavare,Right hand,Right arm pace,No
WAT Beer,Right hand,Right arm leg break,No
WA White,Right hand,Right arm pace,No
Wayne Noon,Right hand,,No
WA Young,Right hand,Right arm off break,No
W Barresi,Right hand,Right arm off break,No
WB Marshall,Right hand,Right arm pace,No
W Boshoff,Right hand,,No
WCA Ganegama,Right hand,Right arm pace,No
WC Broaster,Right hand,Right arm pace,No
WCF Smeed,Right hand,Right arm off break,No
WC Ludick,Right hand,Right arm pace,No
WD Barnes,Right hand,Right arm pace,No
WD Hendricks,Right hand,Right arm leg break,Yes
WD Sheridan,Right hand,Left arm pace,No
Wei Guo Lei,Right hand,,No
WEL Buttleman,Right hand,Right arm off break,No
WER Somerville,Right hand,Right arm off break,No
WE September,Right hand,Left arm orthodox,No
W Fazakerley,Right hand,Right arm pace,No
WF Stelling,Right hand,Right arm pace,No
WG Bosisto,Right hand,Right arm off break,No
W Ginindza,Right hand,Right arm pace,No
WG Jacks,Right hand,Right arm off break,No
W Harris,Right hand,Right arm pace,No
WIA Fernando,Right hand,Right arm pace,No
William Lampe,Right hand,Left arm pace,No
W Jackson,Right hand,,No
W Jaffer,Right hand,Right arm off break,No
W Jalali,Right hand,Right arm pace,No
W Jayasena,Right hand,Right arm off break,Yes
WJ Durston,Right hand,Right arm off break,No
WJ Heathfield,Right hand,Right arm pace,No
WJ Pucovski,Right hand,,No
WK Dilhari,Right hand,Right arm off break,No
WKD Perkins,Right hand,,No
WK Lai,Right hand,Right arm pace,No
WK McCallan,Right hand,Right arm off break,No
W Liengprasert,Right hand,Right arm off break,No
WL Madsen,Right hand,Right arm off break,No
WL Mascarenhas,Right hand,Right arm pace,No
W Madhevere,Right hand,Right arm off break,No
W Maneerat,Right hand,,No
W McClintock,Right hand,Right arm pace,No
W Miyauchi,Right hand,,No
WM Jones,Right hand,Right arm pace,No
W Mwatile,Right hand,Right arm pace,No
W Mwayenga,Right hand,Right arm pace,No
W Nalisa,Right hand,Right arm leg break,No
WN de Silva,Right hand,Right arm off break,Yes
W Niyitanga,Right hand,,No
W Ofamoli,Right hand,,No
W Parker,Right hand,Right arm leg break,No
WP Diepeveen,Right hand,Right arm leg break,No
W Peatfield,Right hand,Right arm pace,No
WP Saha,Right hand,,No
WRP Fernando,Right hand,Right arm off break,No
WRS de Silva,Right hand,Left arm pace,No
WR Smith,Right hand,Right arm off break,Yes
WRWMP Weerasooriya,Right hand,Right arm leg break,No
WSA Williams,Right hand,Right arm pace,No
WS Davis,Right hand,Right arm pace,No
WS Jayantha,Right hand,Right arm off break,No
W Sutherland,Right hand,Right arm pace,No
W Tajbhay,Right hand,Right arm pace,No
WT Gavera,Right hand,Right arm pace,No
WT Mashinge,Right hand,Right arm pace,No
WTN Fernando,Right hand,Right arm pace,No
WT O'Donnell,Right hand,Right arm off break,No
WT Owen,Right hand,Right arm pace,No
Wu Juan,Right hand,Right arm off break,No
W van Vuuren,Right hand,,No
W Viraliliu,Right hand,Right arm pace,No
XA Crone,Right hand,Right arm pace,No
XA Jetly,Right hand,Right arm off break,No
XC Bartlett,Right hand,Right arm pace,No
XM Marshall,Right hand,Right arm off break,No
X Thalaivan Sargunam,Right hand,Right arm off break,No
Xu Hao,Right hand,Right arm leg break,No
Yair Nagavkar,Right hand,Right arm off break,No
Yamin Ahmadzai,Right hand,Right arm pace,No
Y Anggraeni,Right hand,Right arm pace,No
Yan HuaWen,Right hand,Right arm pace,No
Yasar Idrees,Right hand,Right arm pace,No
Yaser Sadeq,Right hand,Right arm pace,No
Yashodha Lanka,Right hand,Left arm pace,No
Yashpal Sharma,Right hand,Right arm pace,Yes
Yashpal Singh,Right hand,Right arm pace,No
Yasir Ali,Right hand,Right arm off break,No
Yasir Ali Chowdhury,Right hand,Right arm off break,No
Yasir Arafat,Right hand,Right arm pace,No
Yasir Hameed,Right hand,Right arm pace,No
Yasir Iqbal,Right hand,Right arm pace,No
Yasir Mehmood,Right hand,Right arm pace,No
Yasir Shah,Right hand,Right arm leg break,No
Yasmeen Khan,Right hand,Right arm pace,No
Yasser Nazir,Right hand,,No
YC Barde,Right hand,Right arm pace,Yes
Y Choden,Right hand,,No
Y Daswani,Right hand,Right arm pace,No
Yebin Ka,Right hand,Right arm pace,No
Ye Weiji,Right hand,Right arm pace,No
Y Fourie,Right hand,Right arm off break,No
Y Gnaneswara Rao,Right hand,Right arm pace,No
Y Jalloh,Right hand,Right arm pace,No
YK Ko Aung,Right hand,Right arm off break,No
YK Pathan,Right hand,Right arm off break,No
Y Nagar,Right hand,Right arm off break,No
Y Naing Kyaw,Right hand,Right arm pace,No
Y Naing Tun,Right hand,,No
Younas Ahmadzai,Right hand,Right arm off break,No
Younis Khan,Right hand,Right arm pace,No
Yousef Shadzehisarjou,Right hand,Right arm pace,No
Yousif Alzaid,Right hand,,No
Yousuf Zazai,Right hand,Right arm pace,No
Y Potgieter,Right hand,Right arm pace,No
Y Punja,Right hand,Right arm pace,No
Y Razpurker,Right hand,Right arm pace,No
Y Sangare,Right hand,Right arm pace,No
YS Chahal,Right hand,Right arm leg break,No
YS Karki,Right hand,,No
YS To,Right hand,,No
Yuliana,Right hand,Right arm off break,No
Yu Miao,Right hand,Right arm pace,No
Yusrina Yaakop,Right hand,,No
Yusuf Bhoola,Right hand,Right arm pace,No
Yusuf Ebrahim,Right hand,Right arm pace,No
Y van der Westhuizen,Right hand,,No
Y Venugopal Rao,Right hand,Right arm off break,No
Y Verma,Right hand,Right arm pace,No
YV Takawale,Right hand,,No
Y Wangmo,Right hand,Right arm off break,No
YYM Jakda,Right hand,Right arm pace,No
Zabiullah Ibrahimkhel,Right hand,Right arm off break,No
Zaheer Ibrahim,Right hand,Right arm off break,No
Zaheer Maqsood,Right hand,Right arm leg break,No
Zahid Abbas,Right hand,Right arm off break,No
Zahid Khan,Right hand,Right arm pace,No
Zahid Mahmood,Right hand,Right arm leg break,No
Zahid Shah,Right hand,Right arm pace,No
Zahir Mohammed,Right hand,Right arm pace,No
Zahoor Khan,Right hand,Right arm pace,No
Zaigham Mansoor,Right hand,Right arm pace,No
Zain Abbas,Right hand,Right arm pace,No
Zain Ul Abidin,Right hand,Left arm orthodox,No
Zakiullah Zaki,Right hand,Right arm leg break,No
Zameer Khan,Right hand,,No
Z Arinaitwe,Right hand,Right arm off break,No
ZA Shroff,Right hand,,No
Zawar Farid,Right hand,Right arm pace,No
Z Bimenyimana,Right hand,Right arm pace,No
Z Crawley,Right hand,Right arm off break,No
Z de Bruyn,Right hand,Right arm pace,No
Zeefa Jilani,Right hand,Right arm pace,No
Zeeshan Abbas,Right hand,Left arm orthodox,No
Zeeshan Ali,Right hand,Right arm pace,No
Zeeshan Ansari,Right hand,Right arm leg break,No
Zeeshan Khan,Right hand,Right arm leg break,No
Zeeshan Kukikhel,Right hand,Right arm pace,No
Zeeshan Malik,Right hand,Right arm off break,No
Zeeshan Sarwar,Right hand,,No
Zeeshan Siddiqi,Right hand,Right arm off break,No
Zeeshan Siddiqui,Right hand,,No
ZE Matsinhe,Right hand,Right arm pace,No
Zeshan Arif,Right hand,Right arm leg break,No
ZE Surkari,Right hand,Right arm pace,No
Z Evans,Right hand,Right arm pace,No
Zhai Dian Da,Right hand,Right arm off break,No
Zhang Chan,Right hand,,No
Zhang Mei,Right hand,,No
Zhang Peng,Right hand,Right arm pace,No
Zhang Xiangxue,Right hand,Right arm pace,No
Zhang Yanling,Right hand,,No
Zhang Yufei,Right hand,Right arm pace,No
Zhang Yu Fei,Right hand,Right arm pace,No
Zhao Gaosheng,Right hand,,No
Zhao Ning,Right hand,,No
ZH Cheema,Right hand,Right arm pace,No
Zheng Lili,Right hand,Right arm pace,No
Zhong Wenyi,Right hand,Right arm off break,No
Z Hoque,Right hand,Right arm pace,No
Zhou Haijie,Right hand,Right arm pace,No
ZH Saidi,Right hand,Right arm pace,No
Zhuang Zelin,Right hand,,No
Ziauddin Burney,Right hand,Right arm pace,No
Zia-ul-Haq,Right hand,Left arm pace,No
Ziaur Rahman,Right hand,Right arm pace,No
Zia-ur-Rehman,Right hand,Left arm orthodox,No
Zika Ali,Right hand,Right arm leg break,No
Zinaida Jeremiah,Right hand,Right arm off break,No
Zishan Shah,Right hand,Right arm pace,No
ZJ Chappell,Right hand,Right arm pace,No
Z Kamara,Right hand,Right arm pace,No
Z Khan,Right hand,Left arm pace,No
ZK Shem,Right hand,Right arm pace,No
Z Mali,Right hand,Right arm pace,No
Z McLaughlin,Right hand,Right arm leg break,No
ZM Tribe,Right hand,Right arm leg break,No
ZN Gibson,Right hand,Right arm pace,No
Zohaib Khan,Right hand,Left arm orthodox,No
Zohaib Sarwar,Right hand,Right arm pace,No
Zoheb Malek,Right hand,Right arm off break,No
Zoona Mariyam,Right hand,,No
Zou Miao,Right hand,,No
Z Pongolo,Right hand,Right arm pace,No
Zubaidi Zulkifle,Right hand,Right arm pace,No
Zubayr Hamza,Right hand,Right arm leg break,No
Zulfiqar Babar,Right hand,Left arm orthodox,No
Zulqarnain Haider,Right hand,,No
Zumika Azmi,Right hand,Right arm off break,No
AAA Amsterdam,Left hand,Right arm off break,No
AA Chavan,Left hand,Left arm orthodox,No
AA Herwadkar,Left hand,Right arm off break,No
AA Jangoo,Left hand,,No
AA Jasani,Left hand,Left arm orthodox,No
AA Kazi,Left hand,Left arm orthodox,No
Aamir Kaleem,Left hand,Left arm orthodox,No
AA Paradkar,Left hand,Left arm pace,No
Aaron Beard,Left hand,Right arm pace,No
A Ayre,Left hand,,No
Abdullah Mazari,Left hand,Left arm orthodox,No
Abdul Majid,Left hand,Left arm orthodox,No
Abdur Razzak,Left hand,Left arm orthodox,No
Abdur Rehman,Left hand,Left arm orthodox,No
AB Fudadin,Left hand,Right arm pace,No
Abhiraj Singh,Left hand,Left arm orthodox,No
Abhishek Sharma,Left hand,Left arm orthodox,No
A Bierwisch,Left hand,,No
AB London,Left hand,Right arm off break,No
Abrar Ahmed,Left hand,,No
Abul Hasan,Left hand,Right arm pace,No
AC Agar,Left hand,Left arm orthodox,No
A Campbell,Left hand,Right arm pace,No
AC Blizzard,Left hand,Left arm pace,No
AC Botha,Left hand,Right arm pace,No
AC Brodin,Left hand,Left arm orthodox,No
AC Gilchrist,Left hand,Right arm off break,No
AC Jayangani,Left hand,Right arm off break,No
A Clarke,Left hand,Right arm pace,No
ACL Richards,Left hand,Right arm pace,No
A Cranstone,Left hand,Left arm pace,No
A Dananjaya,Left hand,Right arm off break,No
Adnan Mufti,Left hand,Right arm pace,No
AD Willoughby,Left hand,Right arm leg break,No
AE Satterthwaite,Left hand,Right arm off break,No
AFG Griffith,Left hand,Right arm pace,No
AF Gleadall,Left hand,Right arm pace,No
Afif Hossain,Left hand,Right arm off break,No
AG Dissanayake,Left hand,Right arm off break,No
AGH Orr,Left hand,Right arm pace,No
AG Murtaza,Left hand,Left arm orthodox,No
AG Prince,Left hand,Right arm off break,No
AG Puttick,Left hand,,No
A Harinath,Left hand,Right arm off break,No
AH Kapadia,Left hand,Left arm orthodox,No
Ahmadullah Shinwari,Left hand,Left arm pace,No
Ahmed Safi Abdullah,Left hand,Left arm orthodox,No
Ahmed Shah,Left hand,Left arm orthodox,No
A Hogg,Left hand,Left arm orthodox,No
Ahsan Yusuf,Left hand,Left arm orthodox,No
A Iqbal,Left hand,Left arm orthodox,No
A Jacobs,Left hand,Right arm off break,No
Ajaz Patel,Left hand,Left arm orthodox,No
AJ Blake,Left hand,Right arm pace,No
AJ Hickey,Left hand,Right arm off break,No
AJ Hosein,Left hand,Left arm orthodox,No
AJ Mellor,Left hand,,No
AJ Strauss,Left hand,Left arm pace,No
AK Heal,Left hand,Left arm orthodox,No
A Kitayama,Left hand,Right arm pace,No
A Kohli,Left hand,Right arm off break,No
AK Peters,Left hand,Left arm pace,No
A Lambert,Left hand,Left arm orthodox,No
Alastair Bressington,Left hand,Right arm pace,No
Alawi Shukri,Left hand,Right arm off break,No
AL Dodson,Left hand,,No
Ali Waqas,Left hand,Right arm off break,No
Ali Zaheer,Left hand,Right arm leg break,No
AL Kerai,Left hand,,No
AL MacDonald,Left hand,Right arm pace,No
Almas Akram,Left hand,Left arm pace,No
AL Menaria,Left hand,Left arm orthodox,No
AL Phehlukwayo,Left hand,Right arm pace,No
AL Watkins,Left hand,Right arm off break,No
A Lyth,Left hand,Right arm off break,No
A Manatos,Left hand,Left arm pace,No
AM Blignaut,Left hand,Right arm pace,No
Ameel Mauroof,Left hand,Left arm pace,No
Ameer Saiyed,Left hand,Left arm orthodox,No
Amit Kumar,Left hand,Left arm orthodox,No
Amjad Ali,Left hand,Right arm leg break,No
AM Linehan,Left hand,Right arm pace,No
AM Nayar,Left hand,Right arm pace,No
A Mukund,Left hand,Right arm leg break,No
Anas Khan,Left hand,Left arm orthodox,No
AN Cook,Left hand,,No
A Ndiraya,Left hand,Right arm leg break,No
Anirudh Singh,Left hand,Right arm pace,No
Ankita Ved,Left hand,,No
Ankit Sharma,Left hand,Left arm orthodox,No
Ansh Tandon,Left hand,Right arm pace,No
Anshuman Rath,Left hand,Left arm orthodox,No
Anuj Rawat,Left hand,,No
Anuk Fernando,Left hand,Left arm pace,No
Anwar Arudin,Left hand,Right arm pace,No
APC Kilowan,Left hand,Left arm pace,No
AP Devcich,Left hand,Left arm orthodox,No
Aphsal Ashraf,Left hand,,No
AP Richardson,Left hand,Right arm pace,No
Arafat Sunny,Left hand,Left arm orthodox,No
AR Beadle,Left hand,Left arm orthodox,No
AR Chauhan,Left hand,Left arm pace,No
Arfan Haider,Left hand,Left arm orthodox,No
Ariful Islam,Left hand,Left arm orthodox,No
AR McBrine,Left hand,Right arm off break,No
AR Patel,Left hand,Left arm orthodox,No
AR Pitcher,Left hand,,No
Arshdeep Singh,Left hand,Left arm pace,No
AS Dean,Left hand,Right arm off break,No
Ashar Zaidi,Left hand,Left arm orthodox,No
Asif Raza,Left hand,Right arm pace,No
Asim Kamal,Left hand,Right arm off break,No
AS Jaggernauth,Left hand,Right arm off break,No
AS Kyobe,Left hand,,No
AS Roy,Left hand,Left arm orthodox,No
ASS Nijjar,Left hand,Left arm orthodox,No
A Stonehouse,Left hand,Left arm pace,No
AT Carey,Left hand,,No
ATE Hazeldine,Left hand,Left arm pace,No
A Uniyal,Left hand,Left arm pace,No
A Vala,Left hand,Right arm off break,No
AV Lalcheta,Left hand,Left arm orthodox,No
Awais Zia,Left hand,Right arm off break,No
AW Gale,Left hand,Right arm leg break,No
AW McKenzie,Left hand,Right arm pace,No
AWO Appleby,Left hand,Right arm off break,No
AW O'Brien,Left hand,Left arm orthodox,No
AW Robinson,Left hand,Right arm pace,No
Ayan Khan,Left hand,Left arm orthodox,No
AY Patel,Left hand,Left arm orthodox,No
Azan Baig,Left hand,Right arm pace,No
Azeez Salako,Left hand,Left arm orthodox,No
Aziz-ur-Rehman,Left hand,Left arm orthodox,No
AZ Lees,Left hand,Right arm leg break,No
Azmatullah Nazeer,Left hand,Left arm orthodox,No
Babar Ali,Left hand,Left arm orthodox,No
BA Bhatt,Left hand,Left arm orthodox,No
Badal Singh,Left hand,Left arm orthodox,No
BA Godleman,Left hand,Right arm leg break,No
BA Raine,Left hand,Right arm pace,No
BA Stokes,Left hand,Right arm pace,No
B Bennett,Left hand,Right arm pace,No
BB Sran,Left hand,Left arm pace,No
BC Broad,Left hand,Right arm pace,No
BC Lara,Left hand,Right arm leg break,No
BDH Stevens,Left hand,Left arm orthodox,No
BE Hendricks,Left hand,Left arm pace,No
Beidas Tareq,Left hand,,No
BE Street,Left hand,Right arm pace,No
BG Charlesworth,Left hand,Right arm pace,No
BG Compton,Left hand,Right arm off break,No
BG McDonald,Left hand,Right arm leg break,No
BG Rogers,Left hand,Right arm off break,No
Bilal Khan,Left hand,Left arm pace,No
Bipul Sharma,Left hand,Left arm orthodox,No
Bishawnath Halder,Left hand,Left arm orthodox,No
Bismah Maroof,Left hand,Right arm leg break,No
BJ Curran,Left hand,Right arm off break,No
BJ Debenham,Left hand,,No
BJ Dwarshuis,Left hand,Left arm pace,No
BJ Rohrer,Left hand,,No
B Karki,Left hand,Left arm orthodox,No
BL Couch,Left hand,Right arm pace,No
BLCS Kumara,Left hand,Right arm pace,No
BL Mooney,Left hand,,No
B Luitel,Left hand,,No
BMAJ Mendis,Left hand,Right arm leg break,No
BM Ashkenazi,Left hand,Right arm pace,No
BM Duckett,Left hand,Right arm off break,No
BM Edmondson,Left hand,Right arm pace,No
BM Halliday,Left hand,Right arm pace,No
BMSM Kumari,Left hand,Left arm orthodox,No
BM White,Left hand,Right arm pace,No
BN Cooper,Left hand,Right arm pace,No
B Palekar,Left hand,,No
BP Nash,Left hand,Left arm pace,No
B Rawal,Left hand,,No
BR Dunk,Left hand,Right arm off break,No
B Regmi,Left hand,Left arm orthodox,No
Brian Taylor,Left hand,,No
BS Adhihetty,Left hand,Left arm pace,No
BS Mudzinganyama,Left hand,Right arm off break,No
BS Oakley,Left hand,Left arm pace,No
BS Stephenson,Left hand,Left arm pace,No
B Stanlake,Left hand,Right arm pace,No
B Tau,Left hand,,No
BT Slater,Left hand,,No
BV Taylor,Left hand,Right arm pace,No
BV Vitori,Left hand,Left arm pace,No
BW Harmison,Left hand,Right arm pace,No
CA Ingram,Left hand,Right arm leg break,No
CA Liyanage,Left hand,Right arm pace,No
Capil Rampersad,Left hand,,No
C Archibald,Left hand,Left arm pace,No
CB Lambert,Left hand,Right arm off break,No
CBRLS Kumara,Left hand,Right arm pace,No
C Burgess,Left hand,,No
CD Elly,Left hand,,No
CD Hartley,Left hand,,No
CD Hinchliffe,Left hand,Left arm wrist spin,No
CDJ Dent,Left hand,Left arm orthodox,No
CF Hughes,Left hand,Left arm orthodox,No
CG Burnett,Left hand,Right arm pace,No
CG Sippel,Left hand,Right arm pace,No
C Hauptfleisch,Left hand,,No
C Hemraj,Left hand,Left arm orthodox,No
Chen Yue,Left hand,Right arm off break,No
CH Gayle,Left hand,Right arm off break,No
CH Lloyd,Left hand,Right arm pace,No
Christina Baret,Left hand,,No
CJA Amini,Left hand,Right arm leg break,No
CJ Anderson,Left hand,Left arm pace,No
CJ Bodenstein,Left hand,Left arm pace,No
CJ Haggett,Left hand,Right arm pace,No
CJ Langford,Left hand,Left arm pace,No
CJL Rogers,Left hand,Right arm leg break,No
CJ McInerney,Left hand,Left arm orthodox,No
CJ Metcalfe,Left hand,Right arm leg break,No
CJM Sabburg,Left hand,Right arm off break,No
CJ Simmons,Left hand,Left arm pace,No
CJ White,Left hand,Right arm pace,No
C Lamont,Left hand,Left arm orthodox,No
CM Gough,Left hand,Left arm pace,No
C Munro,Left hand,Right arm pace,No
CP Jewell,Left hand,,No
CPPM Sadun,Left hand,Right arm pace,No
CP Schofield,Left hand,Right arm leg break,No
CR Ervine,Left hand,Right arm off break,No
CRM Douglas,Left hand,Right arm off break,No
C Sakamoto,Left hand,,No
C Sakariya,Left hand,Left arm pace,No
CS Delport,Left hand,Right arm pace,No
CS Fraser,Left hand,Right arm pace,No
CS Mugeri,Left hand,Right arm pace,No
CV Harrison,Left hand,Left arm orthodox,No
CV Milind,Left hand,Left arm pace,No
C Waiswa,Left hand,Left arm pace,No
CZ Harris,Left hand,Right arm pace,No
C Zhuwao,Left hand,Left arm orthodox,No
DA Griffiths,Left hand,Right arm pace,No
DA Gunawardene,Left hand,,No
D Ahir,Left hand,Left arm orthodox,No
DA Miller,Left hand,Right arm off break,No
DA Minors,Left hand,,No
Damitha Silva,Left hand,Left arm orthodox,No
DA Morrison,Left hand,Right arm pace,No
Danial Ahmed,Left hand,Left arm orthodox,No
Danish Aziz,Left hand,Left arm orthodox,No
DA Randika,Left hand,Right arm pace,No
DA Warner,Left hand,Right arm leg break,No
D Bishoo,Left hand,Right arm leg break,No
DB Sharma,Left hand,Right arm off break,No
DCC Borden,Left hand,Right arm off break,No
DC Delany,Left hand,Right arm pace,No
DC Drakes,Left hand,Left arm pace,No
DE Bollinger,Left hand,Left arm pace,No
DE Johnson,Left hand,Left arm pace,No
D Elgar,Left hand,Left arm orthodox,No
DF Jacobs,Left hand,Right arm leg break,No
D Govindjee,Left hand,Left arm orthodox,No
DH Bruwer,Left hand,Right arm off break,No
DH Yagnik,Left hand,,No
D Jansen,Left hand,Left arm pace,No
DJ Malan,Left hand,Right arm leg break,No
DJ Millns,Left hand,Right arm pace,No
DJM Short,Left hand,Left arm wrist spin,No
DJ Redfern,Left hand,Right arm off break,No
DJ Wainwright,Left hand,Left arm orthodox,No
DJ Walker,Left hand,Right arm pace,No
DJ Willey,Left hand,Left arm pace,No
D Kansonkho,Left hand,Right arm pace,No
DK Butler,Left hand,Left arm pace,No
DKD Warnakulasuriya,Left hand,Left arm orthodox,No
D Lakshan,Left hand,Right arm pace,No
DL Brangman,Left hand,Left arm orthodox,No
DL Collins,Left hand,Right arm pace,No
DL Hemp,Left hand,Right arm pace,No
DL Orchard,Left hand,Right arm pace,No
DL Vettori,Left hand,Left arm orthodox,No
DM Bravo,Left hand,Right arm pace,No
DM Nakrani,Left hand,Left arm pace,No
D Mohammed,Left hand,Left arm wrist spin,No
D Mongia,Left hand,Left arm orthodox,No
D Moriarty,Left hand,Left arm orthodox,No
DMW Rawlins,Left hand,Left arm orthodox,No
D Nath,Left hand,,No
DNT Zoysa,Left hand,Left arm pace,No
D Padikkal,Left hand,Right arm off break,No
DP Conway,Left hand,Right arm pace,No
DP Hughes,Left hand,Right arm pace,No
DP Michael,Left hand,Right arm pace,No
D Potgieter,Left hand,Right arm pace,No
DP Vaidya,Left hand,Right arm leg break,No
DR Flynn,Left hand,,No
DR Mousley,Left hand,Right arm off break,No
DSF Arsakulasuriya,Left hand,Right arm pace,No
DS Lehmann,Left hand,Left arm orthodox,No
D Smith,Left hand,Right arm pace,No
DS Smith,Left hand,Right arm off break,No
DS Weerakkody,Left hand,,No
DT Doram,Left hand,Left arm orthodox,No
Duncan Snell,Left hand,Left arm pace,No
D Weston,Left hand,,No
DW Sayer,Left hand,Left arm pace,No
DYA Davis,Left hand,Left arm orthodox,No
EAR de Silva,Left hand,Right arm leg break,No
EA Russell,Left hand,Right arm pace,No
E Bisht,Left hand,Left arm orthodox,No
EC Joyce,Left hand,Right arm pace,No
EHSN Silva,Left hand,Left arm orthodox,No
EJ Byrom,Left hand,Right arm leg break,No
EJG Morgan,Left hand,Right arm pace,No
EJM Cowan,Left hand,Right arm leg break,No
EJ Nuttall,Left hand,Left arm pace,No
E Jones,Left hand,Left arm pace,No
EJ Pollock,Left hand,Right arm off break,No
E Kershaw,Left hand,,No
E Kuribayashi,Left hand,Right arm pace,No
E Lewis,Left hand,,No
Elias Sunny,Left hand,Left arm orthodox,No
Enamul Haque,Left hand,Left arm orthodox,No
EN Gay,Left hand,Right arm pace,No
EO Hooper,Left hand,Left arm orthodox,No
EP Thompson,Left hand,Left arm pace,No
Fahad Usman,Left hand,Right arm leg break,No
Faheem Ashraf,Left hand,Right arm pace,No
Faisal Hossain,Left hand,Left arm orthodox,No
Faizan Ali,Left hand,Left arm pace,No
Faizan Asif,Left hand,,No
Fakhar Zaman,Left hand,Left arm orthodox,No
FA Klokker,Left hand,,No
Fardeen Hasan,Left hand,,No
Fareed Ahmad,Left hand,Left arm pace,No
Fareeha Mehmood,Left hand,,No
Fawad Alam,Left hand,Left arm orthodox,No
Fayyaz Ahmed,Left hand,Left arm orthodox,No
Fazle Mahmud,Left hand,Left arm orthodox,No
FDM Karunaratne,Left hand,Right arm pace,No
FEM Van Arkel,Left hand,,No
F Fyneface,Left hand,Left arm pace,No
Fitri Sham,Left hand,Left arm orthodox,No
FJM Murray,Left hand,Left arm orthodox,No
F Kasteni,Left hand,,No
FL Reifer,Left hand,Right arm pace,No
FL Walker,Left hand,Left arm orthodox,No
FP McAllister,Left hand,,No
F Shony,Left hand,Left arm orthodox,No
FY Fazal,Left hand,Right arm pace,No
Gauhar Hafeez,Left hand,,No
Gayan Munaweera,Left hand,Left arm pace,No
G Ballinger,Left hand,Left arm pace,No
GB Hogg,Left hand,Left arm wrist spin,No
GC Bhogle,Left hand,Right arm off break,No
GC Galanis,Left hand,Left arm wrist spin,No
GC Smith,Left hand,Right arm off break,No
GD Arta,Left hand,Left arm pace,No
GD Pope,Left hand,Right arm off break,No
GDR Eranga,Left hand,Left arm pace,No
GE Edge,Left hand,Left arm orthodox,No
GEF Barnett,Left hand,Right arm pace,No
GE Kidd,Left hand,Left arm orthodox,No
GE Mathurin,Left hand,Left arm orthodox,No
GF Linde,Left hand,Left arm orthodox,No
G Gambhir,Left hand,Right arm leg break,No
GH Bodi,Left hand,Left arm wrist spin,No
GH Maybury,Left hand,Right arm pace,No
GHS Garton,Left hand,Left arm pace,No
Ghulam Shabber,Left hand,,No
GH Worker,Left hand,Left arm orthodox,No
Gihan Lankatilleke,Left hand,Left arm pace,No
G Irvin,Left hand,Left arm pace,No
G Keedy,Left hand,Left arm orthodox,No
G Kirsten,Left hand,Right arm off break,No
GL Cloete,Left hand,Right arm off break,No
G Mahlokwana,Left hand,Left arm orthodox,No
GM Andrew,Left hand,Right arm pace,No
GM Davies,Left hand,Right arm pace,No
GM Hamilton,Left hand,Right arm pace,No
